Days,Level,Seed_Method,Model,NSE (↑),R2 (↑),Sim (↑),RMSE (↓),MAE (↓),NMAE (↓)
1D,MED,MEAN,LN,0.8379881087330897,0.8379881087326142,0.9628733123880624,1.1269095913028608,0.8755824776206697,0.0396225872349088
1D,MED,MEAN,Lasso,0.836543485924934,0.8365434859244543,0.962971608281478,1.1301260468554597,0.8733604719809124,0.0395487948075132
1D,MED,MEAN,RF,0.8596677325758725,0.8596677325754621,0.9661542280860556,1.0615842795241277,0.8016517812524524,0.0360230093897613
1D,MED,MEAN,Ridge,0.8379880956189234,0.8379880956184477,0.9628732870650226,1.1269104956753897,0.8755834036214013,0.0396226146670688
1D,MED,MEAN,SVR,0.8597995463756508,0.8597995463752275,0.9670919888744194,1.0431932264296455,0.7761912707185781,0.0350488310780113
1D,MED,MEAN,XGB,0.8594757472885719,0.8594757472881552,0.966342177659082,1.0539260559023582,0.7958149276460919,0.0358224305893293
1D,MED,SPLINE,Ada,0.7710337570091451,0.7710337570085183,0.954698144270447,1.3938653383937682,1.104033930115513,0.0489159461149893
1D,MED,SPLINE,DT,0.7140467520188912,0.7140467520180508,0.9535543417379336,1.5197438835604733,1.1351785793474742,0.050724852074333
1D,MED,SPLINE,GB,0.8506658413640645,0.8506658413636299,0.9648224045675212,1.0940166659815995,0.8323695389434794,0.0374949120113161
1D,MED,SPLINE,KNN,0.8374955684522981,0.8374955684518427,0.962849700345307,1.1714921114307837,0.8961964442048753,0.0397111637840239
1D,MED,SPLINE,LGBM,0.8577765393468645,0.8577765393464453,0.9658002749033854,1.0655223496073194,0.8093625415707544,0.0363969747808981
1D,MED,SPLINE,LN,0.8378099131782658,0.8378099131777895,0.9628747596448324,1.1267298700091917,0.8750659689732959,0.0396223976487715
1D,MED,SPLINE,Lasso,0.8362847324481751,0.8362847324476945,0.9629795760687694,1.1300431848477028,0.8727633366414479,0.039542675292947
1D,MED,SPLINE,RF,0.8599603224186564,0.8599603224182416,0.9665896512862368,1.0548024515350214,0.7919214263984136,0.0355650876343939
1D,MED,SPLINE,Ridge,0.837809878210428,0.8378098782099518,0.9628747316413108,1.126730890283666,0.8750670239755086,0.0396224283095367
1D,MED,SPLINE,SVR,0.8599442728645359,0.8599442728641125,0.967098487025754,1.0428300521360143,0.7758509534474417,0.0350411601821739
1D,MED,SPLINE,XGB,0.8511841092205369,0.8511841092200942,0.9655125855738912,1.0842770185150536,0.8213400482279913,0.0367654308343992
1D,HIGH,LINEAR,Ada,0.8822446375536853,0.8822446375535944,0.9639231941811884,1.5002036159365837,1.180393870258127,0.0384834531410005
1D,HIGH,LINEAR,DT,0.8937467561041815,0.8937467561040972,0.967318932858158,1.440077790940401,1.0659000107765195,0.0348751574265337
1D,HIGH,LINEAR,GB,0.9390143179563618,0.9390143179563124,0.9748126238602304,1.0891866459002386,0.8090225658262733,0.0264763755347542
1D,HIGH,LINEAR,KNN,0.9329376488195996,0.9329376488195456,0.9735422401520264,1.1434934720206635,0.8519600607872009,0.0278536815624201
1D,HIGH,LINEAR,LGBM,0.9455099456459862,0.9455099456459424,0.975985946478754,1.0312776906009298,0.7686234708443968,0.0251702885861059
1D,HIGH,LINEAR,LN,0.9372561040191748,0.9372561040191226,0.9751157873652478,1.090063578448651,0.7993635379314422,0.0261805038255419
1D,HIGH,LINEAR,Lasso,0.9342136314134136,0.9342136314133594,0.974531091316134,1.1140734269017116,0.8179836783409118,0.0268271649355784
1D,HIGH,LINEAR,RF,0.946236220314338,0.9462362203142942,0.9765052474662572,1.0195152057376489,0.7521300023788214,0.0246310925984697
1D,HIGH,LINEAR,Ridge,0.9372562148842396,0.937256214884188,0.9751157547370372,1.090063747896857,0.799364551448822,0.0261805367626675
1D,HIGH,LINEAR,SVR,0.9434832662191224,0.9434832662190762,0.9761656267779808,1.045601997771454,0.7658809431960653,0.0250129281537544
1D,HIGH,LINEAR,XGB,0.9454970734913392,0.945497073491296,0.9760359940289516,1.0369298878688424,0.7687309312343596,0.0251177377770151
1D,HIGH,MEAN,Ada,0.872031149497671,0.8720311494975731,0.9630960154434708,1.538017984130297,1.210373432599309,0.0395002527371109
1D,HIGH,MEAN,DT,0.8823593112824056,0.8823593112823076,0.9667162064823276,1.4872984889350758,1.0825000409126282,0.0356920465513908
1D,HIGH,MEAN,GB,0.9377102461457644,0.937710246145714,0.9746411029535352,1.0986092247854518,0.8147132541143326,0.0266728601131813
1D,HIGH,MEAN,KNN,0.9316767881319836,0.9316767881319288,0.9732646865278556,1.1572189954833985,0.8615600613594054,0.0281604570816477
1D,HIGH,MEAN,LGBM,0.94538490251897,0.9453849025189256,0.9759776270509616,1.0292821899422198,0.7678779339312639,0.0251836086163673
1D,HIGH,MEAN,LN,0.9366111719705508,0.936611171970498,0.9749951791614976,1.094649765543582,0.8026181513309478,0.0263138267117581
1D,HIGH,MEAN,Lasso,0.9337639699103368,0.933763969910282,0.9744624806072408,1.1175051685688613,0.8199159080982209,0.0269040329772983
1D,HIGH,MEAN,RF,0.9456464276360412,0.9456464276359968,0.9763890249831936,1.0219514055859948,0.7552130014747381,0.0247560767301587
