Level,Seed_Method,Model,NSE (↑),R2 (↑),Sim (↑),RMSE (↓),MAE (↓),NMAE (↓)
HIGH,LINEAR,DT,0.8778292319658192,0.8778292319658049,0.9670606665495102,1.4803518995722282,1.0797071693079812,0.03517470053088426
HIGH,LINEAR,GB,0.9368789091822564,0.9368789091822493,0.9757693957472751,1.0679236279377766,0.78152980306193,0.025414153447900677
HIGH,LINEAR,KNN,0.9213851779508182,0.9213851779508093,0.9727172446083844,1.1938272008085793,0.8834685750348228,0.0287444671789492
HIGH,LINEAR,LGBM,0.9400021180551776,0.9400021180551705,0.9764903537164531,1.0391781020451432,0.756238072488992,0.02463200705257445
HIGH,LINEAR,LN,0.9351308783057654,0.9351308783057578,0.9754867577541434,1.0753373232558554,0.7869389590399607,0.025735940688868565
HIGH,LINEAR,Lasso,0.934136854804855,0.9341368548048472,0.9752423775725871,1.083274482422515,0.7946951736041479,0.025999718537302142
HIGH,LINEAR,RF,0.9391164511075055,0.9391164511074983,0.9765697897730212,1.045211953088302,0.7535264294838053,0.02456647680258003
HIGH,LINEAR,Ridge,0.9351309218553385,0.935130921855331,0.9754867491636761,1.0753370364112904,0.7869392381599971,0.02573594850824818
HIGH,LINEAR,SVR,0.9407315875307312,0.9407315875307242,0.9767271542009632,1.0351668858952408,0.7488886047795816,0.024384844728076477
HIGH,LINEAR,XGB,0.9365729790861423,0.936572979086135,0.975987622607641,1.0685865129937866,0.7738140913690841,0.025193881359188722
HIGH,MEAN,Ada,0.8710174338609779,0.8710174338609616,0.9654741422797941,1.4550036765958823,1.1296071811864514,0.03673157741342412
HIGH,MEAN,DT,0.8734030260089227,0.8734030260089081,0.9667657201278378,1.507448314302931,1.0909857363973345,0.03553948346233063
HIGH,MEAN,GB,0.936124068926259,0.9361240689262516,0.9755775257594488,1.0735353528396696,0.7869742375400821,0.025619387329270476
HIGH,MEAN,KNN,0.9211833697581596,0.9211833697581505,0.9725335340415571,1.1967671052946356,0.889872856412615,0.028934370126352308
HIGH,MEAN,LGBM,0.939876007300408,0.939876007300401,0.9764141064852387,1.040447972713396,0.7580843079654158,0.02471299334266459
HIGH,MEAN,LN,0.9325314574649082,0.9325314574649005,0.9749743461877957,1.0988144090203884,0.8047793376071113,0.026297935525260507
HIGH,MEAN,Lasso,0.9318019228938154,0.9318019228938074,0.9747903315481402,1.1041235498371078,0.8102389178957258,0.026496160340651557
HIGH,MEAN,RF,0.9391958632468999,0.9391958632468927,0.9764837830914552,1.0462136559446582,0.7554195720639398,0.024656045359784103
HIGH,MEAN,Ridge,0.9325315102784519,0.9325315102784443,0.9749743337568806,1.0988138522949171,0.804779653426579,0.026297947009879193
HIGH,MEAN,SVR,0.9382351592796762,0.938235159279669,0.9762229896638286,1.061417131547168,0.7668151375438927,0.024939680229472686
HIGH,MEAN,XGB,0.937328628094151,0.9373286280941437,0.976115043128046,1.0587844639326902,0.7682660884346281,0.025054050704453525
HIGH,SPLINE,Ada,0.8640006764515792,0.8640006764515618,0.9650290001278612,1.472990675361334,1.1464239412348565,0.037254369290447724
HIGH,SPLINE,DT,0.8766764742965825,0.8766764742965684,0.9667001195162663,1.4918233568177286,1.0924857309137073,0.03557316890501475
HIGH,SPLINE,GB,0.9357289016199637,0.9357289016199561,0.9753881120895249,1.0806753298389444,0.7946123408617237,0.025820937668150058
HIGH,SPLINE,KNN,0.9101649571387989,0.910164957138789,0.9705080486414748,1.2982442313219367,0.9661942802769796,0.031175752700523408
HIGH,SPLINE,LGBM,0.9400144080675781,0.9400144080675712,0.9763723802140098,1.039217522911307,0.7595542305365156,0.02475184602101093
HIGH,SPLINE,LN,0.9200366098895433,0.9200366098895343,0.972571466503591,1.2085749799716847,0.8928574265071325,0.028923695607041375
HIGH,SPLINE,Lasso,0.9196064225100292,0.91960642251002,0.9724606591244951,1.2121180601534904,0.8956083625589097,0.02904284658025886
HIGH,SPLINE,RF,0.9391319006911738,0.9391319006911665,0.9764242037547955,1.0446141181058348,0.7573272851145267,0.024715762414911278
HIGH,SPLINE,Ridge,0.9200367782633673,0.9200367782633582,0.9725714743316323,1.2085735172973566,0.8928569582189833,0.028923685033916655
HIGH,SPLINE,SVR,0.9322145001190755,0.9322145001190679,0.9750751287808802,1.1199073310469858,0.8104929878322692,0.02620447822878793
HIGH,SPLINE,XGB,0.9370115765275157,0.9370115765275083,0.9758004975175489,1.066265277885028,0.7792576529707227,0.025377852173826015
